	champion	ck_rate	cs_per_min	kda	result	timestamp
497	그레이브즈	51	4.6	4.75	승리	2017년 2월 2일 오후 2시 04분
498	코르키	57	5.5	3.63	승리	2017년 2월 2일 오전 2시 39분
499	코르키	64	7.4	4.14	승리	2017년 2월 2일 오전 1시 43분
500	그레이브즈	67	5.8	0.80	패배	2017년 2월 2일 오전 1시 00분
501	리 신	71	3.4	2.86	패배	2017년 2월 2일 오전 12시 33분
502	올라프	62	4.1	2.00	패배	2017년 2월 1일 오후 11시 50분
503	그레이브즈	46	3.5	4.00	승리	2017년 2월 1일 오후 10시 39분
504	그레이브즈	50	5.1	2.71	승리	2017년 2월 1일 오후 10시 05분
505	그레이브즈	33	4.3	4.00	승리	2017년 2월 1일 오후 9시 20분
506	코르키	75	6.6	0.75	패배	2017년 2월 1일 오후 8시 39분
507	쓰레쉬	61	0.7	1.82	패배	2017년 2월 1일 오후 3시 47분
508	코르키	63	6.2	2.42	승리	2017년 2월 1일 오후 3시 01분
509	코르키	50	6.8	1.00	패배	2017년 2월 1일 오후 2시 10분
510	코르키	51	6	2.25	승리	2017년 2월 1일 오후 1시 34분
